Age,Mean Costs ($),"95% CI, Lower Limit","95% CI, Upper Limit"
0,2061.79059,1553.29578,2477.51807
1,2045.0094,1603.13086,2418.05005
2,2034.22313,1656.10144,2372.31201
3,2029.50177,1706.7561,2335.87793
4,2028.88287,1755.05554,2306.58179
5,2032.06619,1784.36194,2286.27002
6,2038.71147,1813.00916,2274.20825
7,2049.40038,1842.30798,2266.94995
8,2063.77972,1873.12183,2264.24658
9,2081.97896,1906.13965,2266.2854
10,2104.50828,1941.91528,2281.2627
11,2131.50123,1980.58044,2303.99683
12,2162.62203,2026.20972,2330.74414
13,2198.17922,2073.22827,2361.47949
14,2238.21005,2123.34717,2387.75513
15,2282.92244,2173.39502,2418.01929
16,2330.33359,2221.72388,2453.04272
17,2381.27495,2275.14258,2491.61304
18,2435.78341,2331.8103,2534.80664
19,2493.29018,2389.87891,2591.96509
20,5559.640224,3482.400879,7513.068848
21,5776.461443,3809.133545,7647.792969
22,5994.098767,4131.118164,7780.956543
23,6212.574949,4435.988281,7905.274902
24,6431.897211,4697.743164,8095.977539
25,6652.061014,4960.385742,8239.28418
26,6873.044312,5269.341309,8363.955078
27,7094.803799,5523.756836,8528.024414
28,7317.273264,5753.377441,8723.558594
29,7540.365292,6146.713867,8911.829102
30,7764.850387,6387.111816,9076.929688
31,7991.532803,6605.581055,9253.823242
32,8217.027855,6852.384277,9456.040039
33,8442.529368,7102.025879,9646.899414
34,8667.887916,7397.348145,9919.94043
35,8893.015145,7603.541504,10132.97461
36,9123.70171,7797.910645,10384.45996
37,9351.536897,8000.42627,10577.47656
38,9577.441095,8210.925781,10817.73535
39,9805.084439,8420.119141,11068.65234
40,10039.09488,8621.821289,11326.72852
41,10272.26378,8804.03418,11613.93359
42,10505.30113,8997.966797,11862.43652
43,10739.03362,9207.293945,12156.25
44,10977.88149,9464.007813,12433.2373
45,11224.00535,9705.817383,12658.15625
46,11476.38677,9999.87793,12872.56348
47,11729.89691,10256.43945,13151.9668
48,11979.25891,10593.45801,13352.04492
49,12221.10111,10870.17578,13537.48828
50,12456.53161,11138.27832,13751.45801
51,12685.57064,11401.03418,13974.24121
52,12906.67923,11656.60547,14152.18555
53,13115.29461,11902.33984,14328.09082
54,13303.83499,12108.59082,14512.69629
55,13477.96829,12300.41699,14690.72461
56,13654.27931,12526.29297,14888.6748
57,13846.68579,12795.60645,14993.31348
58,14072.62596,13024.90625,15278.12012
59,14328.06454,13238.45117,15527.09668
60,14542.28763,13446.19922,15700.33398
61,14741.6986,13633.91016,15893.66895
62,14931.85552,13791.0791,16079.5166
63,15111.07416,13993.57129,16199.3291
64,15292.40664,14238.93066,16396.19531
65,15474.41174,14503.41602,16589.43164
66,15654.16014,14722.40234,16765.34766
67,15829.0972,14829.76172,16928
68,15993.91701,14953.71875,17048.77344
69,16142.92324,15104.52832,17222.74805
70,16279.80137,15301.0498,17423.94531
71,16432.87048,15380.36523,17619.88086
72,16591.14988,15570.2666,17819.66602
73,16736.8529,15632.65039,18063.25781
74,16873.9948,15676.04785,18321.6582
75,16992.69235,15739.21973,18497.91797
76,17118.86721,15804.18652,18728.06836
77,17241.74537,15826.12012,18971.67578
78,17351.32856,15805.04785,19114.67773
79,17462.27524,15834.58398,19297.28516
80,17560.10877,15847.36816,19536.80859
81,17647.65846,15709.71582,19695.55273
82,17721.80876,15686.80762,19843.62695
83,17797.33294,15652.82031,20093.56836
84,17821.22836,15583.00977,20295.84375
85,17826.87318,15458.27148,20479.00977
