Age,Mean Costs ($),"95% CI, Lower Limit","95% CI, Upper Limit"
0,2061.790587,1553.295776,2477.518066
1,2045.009397,1603.130859,2418.050049
2,2034.223128,1656.10144,2372.312012
3,2029.501769,1706.756104,2335.87793
4,2028.882875,1755.055542,2306.581787
5,2032.066187,1784.361938,2286.27002
6,2038.711467,1813.009155,2274.208252
7,2049.40038,1842.307983,2266.949951
8,2063.779724,1873.121826,2264.246582
9,2081.978958,1906.139648,2266.2854
10,2104.508276,1941.915283,2281.262695
11,2131.501228,1980.580444,2303.996826
12,2162.622027,2026.209717,2330.744141
13,2198.179217,2073.228271,2361.479492
14,2238.21005,2123.347168,2387.755127
15,2282.922443,2173.39502,2418.019287
16,2330.333592,2221.723877,2453.042725
17,2381.274946,2275.142578,2491.613037
18,2435.783412,2331.810303,2534.806641
19,2493.290178,2389.878906,2591.965088
20,2553.770973,2448.418213,2654.335205
21,2615.456532,2515.760254,2723.395264
22,2679.132612,2587.542236,2794.688965
23,2745.578908,2651.381836,2869.04126
24,2815.761419,2718.873047,2942.350342
25,2889.775569,2789.551025,3017.171143
26,2968.275609,2865.246826,3097.192139
27,3050.307536,2943.896729,3180.256592
28,3136.306362,3026.249512,3278.070557
29,3225.612936,3112.776611,3379.404053
30,3322.731305,3208.68457,3487.263184
31,3429.506448,3312.548584,3604.257568
32,3537.910102,3417.470459,3724.734619
33,3652.41092,3527.647217,3846.098877
34,3778.068445,3641.062988,3969.7854
35,3905.698379,3775.461182,4096.43457
36,4043.252088,3902.44165,4235.009766
37,4188.903032,4044.44165,4384.199219
38,4347.230127,4191.068359,4550.249512
39,4517.104058,4354.046387,4726.826172
40,4696.038893,4539.244141,4911.733887
41,4888.444042,4728.680664,5109.000977
42,5085.966427,4919.96582,5299.144043
43,5245.825576,5087.834961,5455.920898
44,5388.502893,5222.583984,5604.936523
45,5536.106942,5361.152344,5758.760254
46,5688.978406,5504.147461,5917.225586
47,5847.385746,5656.331543,6080.130371
48,6011.671335,5817.124512,6247.438965
49,6181.765948,5984.095215,6418.901855
50,6357.382704,6153.707031,6594.016113
51,6538.283206,6327.949707,6774.613281
52,6724.575276,6508.047852,6969.227051
53,6916.628742,6694.864746,7176.640137
54,7114.977892,6884.990234,7390.527344
55,7326.548914,7089.039063,7599.652832
56,7547.840075,7302.899414,7828.546875
57,7772.199803,7517.070313,8069.720215
58,7999.561609,7729.891113,8314.115234
59,8229.490008,7945.722168,8553.417969
60,8462.078825,8164.537598,8791.839844
61,8696.59691,8385.517578,9031.030273
62,8932.663143,8620.249023,9271.25
63,9170.008033,8858.488281,9511.654297
64,9408.204964,9101.799805,9752.126953
65,9646.80056,9341.499023,9992.804688
66,9887.009951,9573.75,10249.72461
67,10126.87348,9806.354492,10510.9834
68,10366.27614,10038.66309,10770.69824
69,10606.2415,10269.18848,11030.09375
70,10845.40965,10489.95898,11289.27734
71,11083.53774,10711.00098,11545.45605
72,11321.65984,10932.05273,11800.78613
73,11558.26793,11153.3291,12054.08008
74,11793.78286,11374.20801,12304.59863
75,12028.9567,11595.47852,12555.88379
76,12262.29577,11816.09766,12801.7002
77,12494.31504,12036.83301,13048.29102
78,12727.61669,12257.44434,13296.56836
79,12954.95941,12477.37402,13534.01172
80,13184.64847,12697.67285,13776.69336
81,13415.46607,12917.79688,14022.01953
82,13640.61932,13137.43164,14259.57324
83,13863.0759,13357.26953,14490.52637
84,14091.16158,13541.25391,14733.2334
85,14307.15455,13705.65039,14956.25
