Year,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84
2022,0,0,25812.48,82798.08,111389.44,106693.12,87027.2,48709.12,20501.76
2023,0,0,25941.5424,83212.0704,111946.3872,107226.5856,87462.336,48952.6656,20604.2688
2024,0,0,26071.25011,83628.13075,112506.1191,107762.7185,87899.64768,49197.42893,20707.29014
2025,0,0,26201.60636,84046.27141,113068.6497,108301.5321,88339.14592,49443.41607,20810.82659
2026,0,0,26332.61439,84466.50276,113633.993,108843.0398,88780.84165,49690.63315,20914.88073
2027,0,0,26464.27747,84888.83528,114202.1629,109387.255,89224.74586,49939.08632,21019.45513
2028,0,0,26596.59885,85313.27945,114773.1738,109934.1913,89670.86959,50188.78175,21124.55241
2029,0,0,26729.58185,85739.84585,115347.0396,110483.8622,90119.22393,50439.72566,21230.17517
2030,0,0,26863.22976,86168.54508,115923.7748,111036.2815,90569.82005,50691.92429,21336.32604
2031,0,0,26997.54591,86599.3878,116503.3937,111591.4629,91022.66915,50945.38391,21443.00768
2032,0,0,27132.53364,87032.38474,117085.9107,112149.4202,91477.7825,51200.11083,21550.22271
2033,0,0,27268.1963,87467.54667,117671.3402,112710.1673,91935.17141,51456.11138,21657.97383
2034,0,0,27404.53729,87904.8844,118259.6969,113273.7182,92394.84727,51713.39194,21766.2637
2035,0,0,27541.55997,88344.40882,118850.9954,113840.0868,92856.82151,51971.9589,21875.09501
2036,0,0,27679.26777,88786.13087,119445.2504,114409.2872,93321.10561,52231.81869,21984.47049
2037,0,0,27817.66411,89230.06152,120042.4766,114981.3336,93787.71114,52492.97779,22094.39284
2038,0,0,27956.75243,89676.21183,120642.689,115556.2403,94256.6497,52755.44268,22204.86481
2039,0,0,28096.53619,90124.59289,121245.9025,116134.0215,94727.93294,53019.21989,22315.88913
2040,0,0,28237.01887,90575.21585,121852.132,116714.6916,95201.57261,53284.31599,22427.46858
2041,0,0,28378.20397,91028.09193,122461.3926,117298.2651,95677.58047,53550.73757,22539.60592
2042,0,0,28520.09499,91483.23239,123073.6996,117884.7564,96155.96837,53818.49126,22652.30395
2043,0,0,28662.69546,91940.64855,123689.0681,118474.1802,96636.74822,54087.58371,22765.56547
2044,0,0,28806.00894,92400.3518,124307.5134,119066.5511,97119.93196,54358.02163,22879.3933
2045,0,0,28950.03899,92862.35356,124929.051,119661.8838,97605.53162,54629.81174,22993.79026
2046,0,0,29094.78918,93326.66532,125553.6963,120260.1933,98093.55928,54902.9608,23108.75921
2047,0,0,29240.26313,93793.29865,126181.4647,120861.4942,98584.02707,55177.4756,23224.30301
2048,0,0,29386.46444,94262.26514,126812.3721,121465.8017,99076.94721,55453.36298,23340.42452
2049,0,0,29533.39676,94733.57647,127446.4339,122073.1307,99572.33194,55730.6298,23457.12665
2050,0,0,29681.06375,95207.24435,128083.6661,122683.4964,100070.1936,56009.28294,23574.41228
2051,0,0,29829.46907,95683.28057,128724.0844,123296.9138,100570.5446,56289.32936,23692.28434
2052,0,0,29978.61641,96161.69698,129367.7048,123913.3984,101073.3973,56570.77601,23810.74576
2053,0,0,30128.50949,96642.50546,130014.5434,124532.9654,101578.7643,56853.62989,23929.79949
2054,0,0,30279.15204,97125.71799,130664.6161,125155.6302,102086.6581,57137.89804,24049.44849
2055,0,0,30430.5478,97611.34658,131317.9392,125781.4084,102597.0914,57423.58753,24169.69573
2056,0,0,30582.70054,98099.40331,131974.5289,126410.3154,103110.0768,57710.70546,24290.54421
2057,0,0,30735.61404,98589.90033,132634.4015,127042.367,103625.6272,57999.25899,24411.99693
2058,0,0,30889.29211,99082.84983,133297.5735,127677.5788,104143.7554,58289.25529,24534.05692
2059,0,0,31043.73857,99578.26408,133964.0614,128315.9667,104664.4741,58580.70156,24656.7272
2060,0,0,31198.95727,100076.1554,134633.8817,128957.5466,105187.7965,58873.60507,24780.01084
2061,0,0,31354.95205,100576.5362,135307.0511,129602.3343,105713.7355,59167.97309,24903.91089
2062,0,0,31511.72681,101079.4189,135983.5864,130250.346,106242.3042,59463.81296,25028.43045
2063,0,0,31669.28545,101584.816,136663.5043,130901.5977,106773.5157,59761.13203,25153.5726
2064,0,0,31827.63187,102092.74,137346.8218,131556.1057,107307.3833,60059.93769,25279.34046
2065,0,0,31986.77003,102603.2037,138033.5559,132213.8862,107843.9202,60360.23737,25405.73716
2066,0,0,32146.70388,103116.2197,138723.7237,132874.9556,108383.1398,60662.03856,25532.76585
2067,0,0,32307.4374,103631.8008,139417.3423,133539.3304,108925.0555,60965.34875,25660.42968
2068,0,0,32468.97459,104149.9599,140114.429,134207.0271,109469.6808,61270.1755,25788.73183
2069,0,0,32631.31946,104670.7097,140815.0012,134878.0622,110017.0292,61576.52637,25917.67549
2070,0,0,32794.47606,105194.0632,141519.0762,135552.4525,110567.1143,61884.40901,26047.26386
2071,0,0,32958.44844,105720.0335,142226.6716,136230.2148,111119.9499,62193.83105,26177.50018
2072,0,0,33123.24068,106248.6337,142937.8049,136911.3659,111675.5496,62504.80021,26308.38768
2073,0,0,33288.85689,106779.8769,143652.4939,137595.9227,112233.9274,62817.32421,26439.92962
2074,0,0,33455.30117,107313.7762,144370.7564,138283.9023,112795.097,63131.41083,26572.12927
2075,0,0,33622.57768,107850.3451,145092.6102,138975.3218,113359.0725,63447.06788,26704.98992
2076,0,0,33790.69057,108389.5968,145818.0732,139670.1984,113925.8679,63764.30322,26838.51487
2077,0,0,33959.64402,108931.5448,146547.1636,140368.5494,114495.4972,64083.12474,26972.70744
2078,0,0,34129.44224,109476.2026,147279.8994,141070.3922,115067.9747,64403.54036,27107.57098
2079,0,0,34300.08945,110023.5836,148016.2989,141775.7441,115643.3146,64725.55806,27243.10883
2080,0,0,34471.5899,110573.7015,148756.3804,142484.6228,116221.5311,65049.18585,27379.32438
2081,0,0,34643.94785,111126.57,149500.1623,143197.046,116802.6388,65374.43178,27516.221
2082,0,0,34817.16759,111682.2028,150247.6631,143913.0312,117386.652,65701.30394,27653.8021
2083,0,0,34991.25342,112240.6139,150998.9015,144632.5963,117973.5853,66029.81046,27792.07111
2084,0,0,35166.20969,112801.8169,151753.896,145355.7593,118563.4532,66359.95951,27931.03147
2085,0,0,35342.04074,113365.826,152512.6654,146082.5381,119156.2704,66691.75931,28070.68663
2086,0,0,35518.75094,113932.6551,153275.2288,146812.9508,119752.0518,67025.21811,28211.04006
2087,0,0,35696.3447,114502.3184,154041.6049,147547.0156,120350.8121,67360.3442,28352.09526
2088,0,0,35874.82642,115074.83,154811.8129,148284.7506,120952.5661,67697.14592,28493.85574
2089,0,0,36054.20055,115650.2042,155585.872,149026.1744,121557.329,68035.63165,28636.32502
2090,0,0,36234.47156,116228.4552,156363.8014,149771.3053,122165.1156,68375.80981,28779.50664
2091,0,0,36415.64391,116809.5975,157145.6204,150520.1618,122775.9412,68717.68886,28923.40417
2092,0,0,36597.72213,117393.6454,157931.3485,151272.7626,123389.8209,69061.2773,29068.02119
2093,0,0,36780.71074,117980.6137,158721.0052,152029.1264,124006.77,69406.58369,29213.3613
2094,0,0,36964.6143,118570.5167,159514.6102,152789.2721,124626.8038,69753.61661,29359.42811
2095,0,0,37149.43737,119163.3693,160312.1833,153553.2184,125249.9379,70102.38469,29506.22525
2096,0,0,37335.18456,119759.1862,161113.7442,154320.9845,125876.1875,70452.89661,29653.75637
2097,0,0,37521.86048,120357.9821,161919.3129,155092.5894,126505.5685,70805.1611,29802.02516
2098,0,0,37709.46978,120959.772,162728.9095,155868.0524,127138.0963,71159.1869,29951.03528
2099,0,0,37898.01713,121564.5709,163542.554,156647.3926,127773.7868,71514.98284,30100.79046
2100,0,0,38087.50722,122172.3937,164360.2668,157430.6296,128412.6557,71872.55775,30251.29441
