"Age","Mean Costs ($)","95% CI, Lower Limit","95% CI, Upper Limit"
0,2061.7905869903,1553.29577636719,2477.51806640625
1,2045.00939723893,1603.130859375,2418.05004882812
2,2034.22312774669,1656.10144042969,2372.31201171875
3,2029.50176921323,1706.75610351562,2335.8779296875
4,2028.88287455225,1755.05554199219,2306.58178710938
5,2032.06618654644,1784.36193847656,2286.27001953125
6,2038.71146679745,1813.00915527344,2274.20825195312
7,2049.40037982294,1842.30798339844,2266.94995117188
8,2063.77972421144,1873.12182617188,2264.24658203125
9,2081.97895759853,1906.1396484375,2266.28540039062
10,2104.50827624614,1941.91528320312,2281.2626953125
11,2131.50122785939,1980.58044433594,2303.99682617188
12,2162.62202674148,2026.20971679688,2330.744140625
13,2198.17921695175,2073.22827148438,2361.4794921875
14,2238.2100499061,2123.34716796875,2387.75512695312
15,2282.92244329642,2173.39501953125,2418.01928710938
16,2330.33359190975,2221.72387695312,2453.04272460938
17,2381.27494639342,2275.142578125,2491.61303710938
18,2435.78341238088,2331.81030273438,2534.806640625
19,2493.29017782787,2389.87890625,2591.96508789062
20,2553.77097256006,2448.41821289062,2654.33520507812
21,2615.45653235987,2515.76025390625,2723.39526367188
22,2679.13261186519,2587.54223632812,2794.68896484375
23,2745.57890813837,2651.3818359375,2869.04125976562
24,2815.76141864713,2718.873046875,2942.35034179688
25,2889.77556874162,2789.55102539062,3017.17114257812
26,2968.27560929612,2865.24682617188,3097.19213867188
27,3050.30753629845,2943.89672851562,3180.25659179688
28,3136.30636178672,3026.24951171875,3278.07055664062
29,3225.61293647213,3112.77661132812,3379.40405273438
30,3322.73130548891,3208.6845703125,3487.26318359375
31,3429.50644782659,3312.54858398438,3604.25756835938
32,3537.91010241983,3417.47045898438,3724.73461914062
33,3652.41091977105,3527.64721679688,3846.09887695312
34,3778.06844457267,3641.06298828125,3969.78540039062
35,3905.69837921462,3775.46118164062,4096.4345703125
36,4043.25208834758,3902.44165039062,4235.009765625
37,4188.90303181936,4044.44165039062,4384.19921875
38,4347.23012661384,4191.068359375,4550.24951171875
39,4517.10405806044,4354.04638671875,4726.826171875
40,4696.03889294917,4539.244140625,4911.73388671875
41,4888.44404239741,4728.6806640625,5109.0009765625
42,5085.96642658377,4919.9658203125,5299.14404296875
43,5245.82557628162,5087.8349609375,5455.9208984375
44,5388.50289282551,5222.583984375,5604.9365234375
45,5536.1069421238,5361.15234375,5758.76025390625
46,5688.97840563567,5504.1474609375,5917.2255859375
47,5847.38574558614,5656.33154296875,6080.13037109375
48,6011.67133466127,5817.12451171875,6247.43896484375
49,6181.76594756694,5984.09521484375,6418.90185546875
50,6357.38270378023,6153.70703125,6594.01611328125
51,6538.28320580969,6327.94970703125,6774.61328125
52,6724.57527572851,6508.0478515625,6969.22705078125
53,6916.62874166987,6694.86474609375,7176.64013671875
54,7114.9778917477,6884.990234375,7390.52734375
55,7326.54891376569,7089.0390625,7599.65283203125
56,7547.84007513906,7302.8994140625,7828.546875
57,7772.19980263105,7517.0703125,8069.72021484375
58,7999.56160855869,7729.89111328125,8314.115234375
59,8229.49000810036,7945.72216796875,8553.41796875
60,8462.07882476983,8164.53759765625,8791.83984375
61,8696.5969104486,8385.517578125,9031.0302734375
62,8932.66314254916,8620.2490234375,9271.25
63,9170.00803319343,8858.48828125,9511.654296875
64,9408.20496352911,9101.7998046875,9752.126953125
65,9646.80056000684,9341.4990234375,9992.8046875
66,9887.00995123384,9573.75,10249.724609375
67,10126.8734830048,9806.3544921875,10510.9833984375
68,10366.2761436206,10038.6630859375,10770.6982421875
69,10606.2415039186,10269.1884765625,11030.09375
70,10845.4096548944,10489.958984375,11289.27734375
71,11083.5377441569,10711.0009765625,11545.4560546875
72,11321.6598429748,10932.052734375,11800.7861328125
73,11558.2679285091,11153.3291015625,12054.080078125
74,11793.7828626006,11374.2080078125,12304.5986328125
75,12028.9566976315,11595.478515625,12555.8837890625
76,12262.2957682043,11816.09765625,12801.7001953125
77,12494.3150385009,12036.8330078125,13048.291015625
78,12727.6166933143,12257.4443359375,13296.568359375
79,12954.9594087011,12477.3740234375,13534.01171875
80,13184.6484711347,12697.6728515625,13776.693359375
81,13415.4660669566,12917.796875,14022.01953125
82,13640.6193150483,13137.431640625,14259.5732421875
83,13863.0759006379,13357.26953125,14490.5263671875
84,14091.1615805245,13541.25390625,14733.2333984375
85,14307.1545539704,13705.650390625,14956.25
