Year,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95p
2022,0,0,22989.24,73742.04,99206.22,95023.56,77508.6,43894.56,18259.38,18259.38,18259.38
2023,0,0,22319.65049,71594.21359,96316.71845,92255.8835,75251.06796,42616.07767,17727.5534,17727.5534,17727.5534
2024,0,0,21669.56358,69508.94524,93511.37713,89568.81893,73059.28928,41374.83269,17211.21689,17211.21689,17211.21689
2025,0,0,21038.41124,67484.41285,90787.74479,86960.01838,70931.34882,40169.74047,16709.91931,16709.91931,16709.91931
2026,0,0,20425.64198,65518.84743,88143.44154,84427.20231,68865.3872,38999.74803,16223.22263,16223.22263,16223.22263
2027,0,0,19830.72037,63610.53148,85576.15684,81968.15758,66859.59923,37863.83304,15750.70159,15750.70159,15750.70159
2028,0,0,19253.12657,61757.79756,83083.64742,79580.73551,64912.23226,36761.00295,15291.94329,15291.94329,15291.94329
2029,0,0,18692.3559,59959.02675,80663.73535,77262.85001,63021.58472,35690.29413,14846.54688,14846.54688,14846.54688
2030,0,0,18147.91835,58212.64733,78314.30617,75012.47574,61186.00458,34650.771,14414.12318,14414.12318,14414.12318
2031,0,0,17619.3382,56517.13333,76033.30696,72827.64635,59403.88794,33641.52524,13994.29435,13994.29435,13994.29435
2032,0,0,17106.15359,54871.00324,73818.74462,70706.45277,57673.67761,32661.67499,13586.69355,13586.69355,13586.69355
2033,0,0,16607.91611,53272.81868,71668.6841,68647.04152,55993.86176,31710.36407,13190.96461,13190.96461,13190.96461
2034,0,0,16124.1904,51721.18318,69581.2467,66647.61313,54362.97258,30786.76123,12806.76176,12806.76176,12806.76176
2035,0,0,15654.55378,50214.74095,67554.60844,64706.42051,52779.58503,29890.05945,12433.74928,12433.74928,12433.74928
2036,0,0,15198.59591,48752.17568,65586.99849,62821.76749,51242.31556,29019.47519,12071.60124,12071.60124,12071.60124
2037,0,0,14755.91836,47332.2094,63676.69756,60992.00727,49749.82094,28174.24776,11720.00121,11720.00121,11720.00121
2038,0,0,14326.13433,45953.60136,61822.03647,59215.54104,48300.79703,27353.6386,11378.64195,11378.64195,11378.64195
2039,0,0,13908.86828,44615.14695,60021.39463,57490.81654,46893.97769,26556.93068,11047.22519,11047.22519,11047.22519
2040,0,0,13503.75561,43315.67665,58273.19867,55816.32674,45528.13368,25783.42785,10725.46135,10725.46135,10725.46135
2041,0,0,13110.44234,42054.055,56575.92104,54190.60849,44202.07154,25032.45422,10413.06927,10413.06927,10413.06927
2042,0,0,12728.5848,40829.17961,54928.07868,52612.24125,42914.63256,24303.35361,10109.77599,10109.77599,10109.77599
2043,0,0,12357.84932,39639.98021,53328.23173,51079.84587,41664.69181,23595.48894,9815.316498,9815.316498,9815.316498
2044,0,0,11997.91196,38485.41768,51774.98226,49592.08337,40451.15709,22908.24169,9529.433493,9529.433493,9529.433493
2045,0,0,11648.45821,37364.48318,50266.97307,48147.65376,39272.96805,22241.01135,9251.877177,9251.877177,9251.877177
2046,0,0,11309.18273,36276.19726,48802.88647,46745.29491,38129.0952,21593.21491,8982.405027,8982.405027,8982.405027
2047,0,0,10979.78906,35219.60899,47381.44318,45383.78147,37018.53903,20964.28632,8720.781579,8720.781579,8720.781579
2048,0,0,10659.98938,34193.79514,46001.40114,44061.92375,35940.32915,20353.67604,8466.778232,8466.778232,8466.778232
2049,0,0,10349.50425,33197.85936,44661.55451,42778.56675,34893.52345,19760.85052,8220.173041,8220.173041,8220.173041
2050,0,0,10048.06238,32230.93142,43360.73253,41532.58908,33877.20723,19185.29177,7980.750525,7980.750525,7980.750525
2051,0,0,9755.400366,31292.16642,42097.79857,40322.90202,32890.49246,18626.49686,7748.301481,7748.301481,7748.301481
2052,0,0,9471.262491,30380.7441,40871.6491,39148.44856,31932.51695,18083.97753,7522.622797,7522.622797,7522.622797
2053,0,0,9195.400477,29495.86806,39681.21272,38008.20249,31002.44364,17557.25974,7303.517279,7303.517279,7303.517279
2054,0,0,8927.573279,28636.7651,38525.44924,36901.16746,30099.45984,17045.88325,7090.793474,7090.793474,7090.793474
2055,0,0,8667.546872,27802.68457,37403.34878,35826.37618,29222.77655,16549.40121,6884.265509,6884.265509,6884.265509
2056,0,0,8415.094051,26992.89764,36313.93085,34782.88949,28371.62772,16067.37981,6683.752921,6683.752921,6683.752921
2057,0,0,8169.994224,26206.69674,35256.24355,33769.79562,27545.26963,15599.39788,6489.080506,6489.080506,6489.080506
2058,0,0,7932.033227,25443.39489,34229.36267,32786.20934,26742.98022,15145.04648,6300.078161,6300.078161,6300.078161
2059,0,0,7701.003133,24702.32514,33232.39094,31831.27121,25964.05847,14703.92862,6116.580739,6116.580739,6116.580739
2060,0,0,7476.702071,23982.83994,32264.45722,30904.1468,25207.82375,14275.65886,5938.427902,5938.427902,5938.427902
2061,0,0,7258.93405,23284.31062,31324.71575,30004.02602,24473.6153,13859.86297,5765.463983,5765.463983,5765.463983
2062,0,0,7047.508786,22606.12681,30412.34539,29130.12235,23760.79155,13456.17764,5597.537847,5597.537847,5597.537847
2063,0,0,6842.24154,21947.69594,29526.54892,28281.67219,23068.72966,13064.25014,5434.502764,5434.502764,5434.502764
2064,0,0,6642.952951,21308.44266,28666.55235,27457.93416,22396.82491,12683.738,5276.216276,5276.216276,5276.216276
2065,0,0,6449.468885,20687.8084,27831.60422,26658.18851,21744.49021,12314.30873,5122.540074,5122.540074,5122.540074
2066,0,0,6261.620277,20085.25088,27020.97497,25881.73641,21111.15554,11955.63955,4973.339878,4973.339878,4973.339878
2067,0,0,6079.242987,19500.24357,26233.95629,25127.89943,20496.26751,11607.41704,4828.485318,4828.485318,4828.485318
2068,0,0,5902.177657,18932.27531,25469.86047,24396.01887,19899.28885,11269.33693,4687.849823,4687.849823,4687.849823
2069,0,0,5730.26957,18380.84982,24728.01988,23685.45521,19319.69791,10941.10381,4551.310508,4551.310508,4551.310508
2070,0,0,5563.368515,17845.48526,24007.78629,22995.58758,18756.98826,10622.43089,4418.748066,4418.748066,4418.748066
2071,0,0,5401.328655,17325.71384,23308.53038,22325.81319,18210.66822,10313.0397,4290.046666,4290.046666,4290.046666
2072,0,0,5244.008403,16821.0814,22629.64114,21675.54678,17680.2604,10012.6599,4165.093851,4165.093851,4165.093851
2073,0,0,5091.270294,16331.14699,21970.52538,21044.22018,17165.30136,9721.029029,4043.780437,4043.780437,4043.780437
2074,0,0,4942.980868,15855.48252,21330.60716,20431.28173,16665.34113,9437.892262,3926.000425,3926.000425,3926.000425
2075,0,0,4799.010552,15393.67235,20709.32734,19836.19585,16179.94284,9163.002196,3811.650898,3811.650898,3811.650898
2076,0,0,4659.233545,14945.31296,20106.14305,19258.44257,15708.68237,8896.118637,3700.63194,3700.63194,3700.63194
2077,0,0,4523.527714,14510.01258,19520.52724,18697.51706,15251.14794,8637.008385,3592.846543,3592.846543,3592.846543
2078,0,0,4391.774479,14087.39085,18951.96819,18152.92919,14806.93974,8385.445034,3488.200527,3488.200527,3488.200527
2079,0,0,4263.858718,13677.0785,18399.96912,17624.20309,14375.66965,8141.208771,3386.602454,3386.602454,3386.602454
2080,0,0,4139.668658,13278.71699,17864.04769,17110.87679,13956.96083,7904.086185,3287.963547,3287.963547,3287.963547
2081,0,0,4019.095785,12891.95824,17343.73562,16612.50174,13550.44741,7673.870083,3192.197619,3192.197619,3192.197619
2082,0,0,3902.034742,12516.46431,16838.57827,16128.64246,13155.77418,7450.359304,3099.220989,3099.220989,3099.220989
2083,0,0,3788.383245,12151.9071,16348.13424,15658.87618,12772.59629,7233.358547,3008.952417,3008.952417,3008.952417
2084,0,0,3678.041985,11797.96806,15871.97499,15202.79241,12400.57892,7022.678201,2921.313026,2921.313026,2921.313026
2085,0,0,3570.914549,11454.33792,15409.68446,14759.99263,12039.39701,6818.134176,2836.226239,2836.226239,2836.226239
2086,0,0,3466.907329,11120.71643,14960.8587,14330.08993,11688.73496,6619.547744,2753.617708,2753.617708,2753.617708
2087,0,0,3365.929446,10796.81207,14525.10553,13912.70867,11348.28637,6426.745382,2673.41525,2673.41525,2673.41525
2088,0,0,3267.892666,10482.34181,14102.04421,13507.48414,11017.75376,6239.558623,2595.548786,2595.548786,2595.548786
2089,0,0,3172.711326,10177.03089,13691.30505,13114.06228,10696.84831,6057.823906,2519.950278,2519.950278,2519.950278
2090,0,0,3080.302258,9880.61251,13292.52918,12732.0993,10385.28962,5881.382433,2446.553668,2446.553668,2446.553668
2091,0,0,2990.584717,9592.82768,12905.36813,12361.26145,10082.80546,5710.080032,2375.294823,2375.294823,2375.294823
2092,0,0,2903.480307,9313.424932,12529.48363,12001.22471,9789.131514,5543.767022,2306.111479,2306.111479,2306.111479
2093,0,0,2818.91292,9042.160128,12164.54721,11651.67448,9504.011178,5382.298079,2238.943183,2238.943183,2238.943183
2094,0,0,2736.80866,8778.796241,11810.24001,11312.30532,9227.195319,5225.532116,2173.731246,2173.731246,2173.731246
2095,0,0,2657.095786,8523.103146,11466.25244,10982.8207,8958.442057,5073.332151,2110.418686,2110.418686,2110.418686
2096,0,0,2579.704647,8274.857423,11132.28392,10662.93272,8697.51656,4925.565195,2048.95018,2048.95018,2048.95018
2097,0,0,2504.567619,8033.842159,10808.04264,10352.36186,8444.190835,4782.102131,1989.27202,1989.27202,1989.27202
2098,0,0,2431.619047,7799.846756,10493.24528,10050.83676,8198.243529,4642.817603,1931.332058,1931.332058,1931.332058
2099,0,0,2360.795191,7572.666753,10187.61678,9758.093939,7959.459737,4507.589906,1875.079668,1875.079668,1875.079668
2100,0,0,2292.034166,7352.103644,9890.890075,9473.877611,7727.630813,4376.30088,1820.465697,1820.465697,1820.465697
