Year,0-4,14-May,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95p
2024,32.38610412,31.61842604,30.18280511,28.33214937,25.94050873,22.8308359,19.10039316,14.80889435,10.19153682,6.001221372,3.219959784
2025,31.44281477,30.69749635,29.30368984,27.50693697,25.18495612,22.16585674,18.54406822,14.37756515,9.89469444,5.826427633,3.126174074
2026,30.527,29.80339,28.45018,26.70576,24.45141,21.520246,18.003947,13.958799,9.606498,5.656725,3.03512
2027,29.63786,28.93533,27.62154,25.92792,23.73924,20.893442,17.47956,13.552232,9.326697,5.491966,2.946718
2028,28.77462,28.09256,26.81703,25.17274,23.0478,20.284896,16.970447,13.157507,9.055046,5.332006,2.860891
2029,27.93653,27.27433,26.03595,24.43956,22.37651,19.694073,16.476162,12.774279,8.791307,5.176705,2.777564
2030,27.12284,26.47993,25.27762,23.72772,21.72477,19.12046,15.996274,12.402213,8.535249,5.025927,2.696664
2031,26.33285,25.70867,24.54138,23.03663,21.09201,18.563553,15.530363,12.040983,8.28665,4.879541,2.618121
2032,25.56588,24.95987,23.82658,22.36566,20.47768,18.022867,15.078022,11.690275,8.045291,4.737418,2.541865
2033,24.82124,24.23289,23.1326,21.71423,19.88124,17.497929,14.638856,11.349781,7.810962,4.599435,2.46783
2034,24.09829,23.52707,22.45884,21.08178,19.30217,16.988281,14.212482,11.019205,7.583458,4.465471,2.395951
2035,23.3964,22.84182,21.8047,20.46774,18.73997,16.493476,13.798526,10.698257,7.362581,4.335409,2.326166
2036,22.71495,22.17652,21.16961,19.8716,18.19415,16.013084,13.396627,10.386658,7.148137,4.209135,2.258414
2037,22.05335,21.53061,20.55302,19.29281,17.66422,15.546683,13.006434,10.084134,6.939939,4.086539,2.192635
2038,21.41102,20.9035,19.95439,18.73088,17.14973,15.093867,12.627606,9.790421,6.737804,3.967513,2.128772
2039,20.7874,20.29466,19.37319,18.18532,16.65022,14.65424,12.259812,9.505263,6.541558,3.851954,2.066769
2040,20.18194,19.70355,18.80892,17.65566,16.16527,14.227418,11.90273,9.228411,6.351027,3.739762,2.006572
2041,19.59412,19.12966,18.26109,17.14141,15.69443,13.813027,11.556048,8.959622,6.166046,3.630837,1.948128
2042,19.02341,18.57249,17.72921,16.64215,15.23731,13.410706,11.219465,8.698662,5.986452,3.525084,1.891386
2043,18.46933,18.03154,17.21283,16.15743,14.79351,13.020103,10.892684,8.445303,5.812089,3.422412,1.836297
2044,17.93139,17.50635,16.71148,15.68682,14.36263,12.640876,10.575421,8.199324,5.642805,3.32273,1.782813
2045,17.40912,16.99646,16.22474,15.22992,13.9443,12.272695,10.267399,7.960508,5.478452,3.225951,1.730886
2046,16.90206,16.50142,15.75218,14.78633,13.53816,11.915238,9.968349,7.728649,5.318885,3.131991,1.680472
2047,16.40976,16.02079,15.29337,14.35566,13.14384,11.568192,9.678009,7.503543,5.163966,3.040768,1.631526
2048,15.93181,15.55417,14.84794,13.93754,12.76101,11.231255,9.396125,7.284993,5.013559,2.952202,1.584006
2049,15.46778,15.10113,14.41547,13.53159,12.38933,10.904131,9.122451,7.072808,4.867533,2.866216,1.53787
2050,15.01726,14.66129,13.9956,13.13747,12.02848,10.586535,8.856749,6.866804,4.72576,2.782734,1.493078
2051,14.57986,14.23427,13.58797,12.75482,11.67813,10.278189,8.598785,6.6668,4.588117,2.701683,1.44959
2052,14.15521,13.81968,13.1922,12.38332,11.33799,9.978824,8.348335,6.472622,4.454482,2.622994,1.407369
2053,13.74292,13.41716,12.80796,12.02264,11.00776,9.688179,8.10518,6.284099,4.32474,2.546596,1.366378
2054,13.34264,13.02637,12.43491,11.67247,10.68715,9.405999,7.869107,6.101067,4.198777,2.472423,1.32658
2055,12.95401373,12.64695561,12.07272285,11.33249017,10.37586923,9.132033854,7.639906354,5.923363418,4.076480734,2.400409626,1.287941182
2056,12.57670684,12.27859229,11.721085,11.00241281,10.07365502,8.866048392,7.417381553,5.750835745,3.957746548,2.330493759,1.250427783
2057,12.21038962,11.92095815,11.37968918,10.68194949,9.780243301,8.607810193,7.201338151,5.583333223,3.842470689,2.262614306,1.214007023
2058,11.854742,11.5737407,11.04823707,10.3708202,9.495377676,8.357093605,6.991587368,5.420709487,3.730552429,2.196711954,1.178647078
2059,11.5094532,11.23663652,10.72643905,10.06875305,9.218809229,8.113679549,6.78794592,5.262822433,3.621893972,2.132729116,1.144317049
2060,11.1742215,10.90935105,10.41401392,9.775484106,8.950296292,7.877355326,6.590235863,5.109534099,3.51640037,2.070609883,1.110986938
2061,10.84875398,10.59159831,10.11068869,9.4907571,8.689604235,7.647914434,6.398284436,4.960710539,3.413979443,2.010299974,1.078627622
2062,10.53276623,10.28310064,9.816198298,9.214323236,8.436505262,7.425156384,6.211923909,4.81622171,3.314541693,1.951746691,1.047210823
2063,10.22598214,9.983588474,9.530285425,8.945940961,8.190778211,7.208886528,6.030991439,4.675941354,3.21800023,1.894898868,1.016709091
2064,9.928133636,9.692800087,9.252700233,8.68537576,7.952208363,6.998915886,5.855328923,4.539746894,3.124270696,1.839706831,0.987095771
2065,9.638960463,9.410481389,8.983200165,8.432399947,7.720587253,6.795060983,5.684782865,4.407519321,3.033271189,1.786122352,0.958344988
2066,9.358209932,9.136385686,8.721549728,8.186792471,7.495712489,6.597143689,5.519204242,4.279143093,2.944922191,1.73409861,0.930431619
2067,9.085636721,8.87027347,8.46752029,7.948338714,7.27738757,6.40499106,5.358448367,4.154506033,2.859146503,1.683590144,0.903331272
2068,8.821002652,8.611912209,8.220889876,7.716830314,7.065421723,6.218435192,5.202374771,4.033499232,2.775869172,1.63455282,0.877020267
2069,8.564076484,8.361076143,7.981442976,7.492064977,6.859629728,6.037313069,5.050847074,3.916016952,2.69501743,1.586943789,0.851475614
2070,8.314633712,8.117546089,7.748970361,7.273846298,6.659831763,5.861466425,4.90373287,3.801956536,2.616520628,1.540721448,0.82667499
2071,8.07245637,7.881109247,7.523268891,7.061983596,6.465853241,5.690741603,4.760903609,3.691218317,2.540310174,1.49584541,0.802596725
2072,7.83733284,7.651559016,7.304141347,6.856291742,6.277524662,5.524989422,4.622234484,3.58370553,2.466319474,1.452276459,0.77921978
2073,7.609057668,7.428694812,7.091396252,6.656591002,6.094681462,5.364065044,4.487604324,3.47932423,2.394483875,1.409976525,0.756523726
2074,7.387431386,7.212321893,6.884847707,6.462706872,5.91716387,5.207827853,4.356895489,3.377983206,2.324740605,1.368908647,0.734488731
2075,7.172260332,7.00225119,6.684315227,6.274469937,5.744816768,5.056141326,4.229993763,3.279593905,2.257028723,1.329036938,0.713095543
2076,6.963356488,6.798299141,6.489623584,6.09171571,5.577489559,4.908872919,4.106788258,3.184070355,2.19128906,1.290326557,0.692325466
