Year,0-4,14-May,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95p
2022,1437306,1714924,2134461,2261721,1934601,1381416,808268,370196,141312,29029,6045
2023,1395442.718,1664974.757,2072292.233,2195845.631,1878253.398,1341180.583,784726.2136,359413.5922,137196.1165,28183.49515,5868.932039
2024,1354798.756,1616480.347,2011934.207,2131888.962,1823546.988,1302117.07,761870.1103,348945.2352,133200.1131,27362.61665,5697.992271
2025,1315338.598,1569398.395,1953334.181,2069795.109,1770433.969,1264191.33,739679.7187,338781.7817,129320.4982,26565.64723,5532.031331
2026,1277027.765,1523687.762,1896440.953,2009509.814,1718867.931,1227370.224,718135.6492,328914.3512,125553.8817,25791.89051,5370.904205
2027,1239832.781,1479308.507,1841204.809,1950980.402,1668803.817,1191621.576,697219.0769,319334.3215,121896.9725,25040.6704,5214.470102
2028,1203721.147,1436221.851,1787577.484,1894155.731,1620197.88,1156914.152,676911.7252,310033.3219,118346.5753,24311.33049,5062.592332
2029,1168661.308,1394390.147,1735512.12,1838986.146,1573007.651,1123217.623,657195.8497,301003.2251,114899.5877,23603.23348,4915.138186
2030,1134622.629,1353776.842,1684963.224,1785423.443,1527191.894,1090502.547,638054.223,292236.1409,111552.9977,22915.76066,4771.978821
2031,1101575.368,1314346.448,1635886.625,1733420.818,1482710.577,1058740.337,619470.1194,283724.4086,108303.8813,22248.31132,4632.989147
2032,1069490.648,1276064.513,1588239.442,1682932.833,1439524.832,1027903.24,601427.3004,275460.5909,105149.3993,21600.30226,4498.047716
2033,1038340.435,1238897.585,1541980.04,1633915.372,1397596.924,997964.3102,583910.0004,267437.4669,102086.7954,20971.16724,4367.036617
2034,1008097.51,1202813.19,1497068,1586325.604,1356890.218,968897.3886,566902.913,259648.0261,99113.39363,20360.35654,4239.841376
2035,978735.4467,1167779.796,1453464.078,1540121.946,1317369.143,940677.0763,550391.1777,252085.4623,96226.59576,19767.33645,4116.35085
2036,950228.589,1133766.792,1411130.173,1495264.025,1278999.168,913278.7148,534360.3667,244743.1672,93423.87938,19191.58879,3996.457136
2037,922552.0282,1100744.458,1370029.294,1451712.646,1241746.765,886678.3639,518796.4725,237614.7255,90702.79551,18632.61047,3880.055472
2038,895681.5807,1068683.94,1330125.528,1409429.753,1205579.384,860852.7805,503685.8956,230693.9082,88060.96652,18089.91308,3767.044148
2039,869593.7677,1037557.223,1291384.008,1368378.401,1170465.421,835779.3986,489015.4327,223974.6682,85496.084,17563.02241,3657.324415
2040,844265.7939,1007337.11,1253770.882,1328522.719,1136374.195,811436.3093,474772.2647,217451.1342,83005.90679,17051.47806,3550.800403
2041,819675.5281,977997.1942,1217253.283,1289827.883,1103275.918,787802.242,460943.9463,211117.606,80588.25902,16554.83307,3447.379032
2042,795801.4835,949511.8391,1181799.304,1252260.08,1071141.668,764856.5456,447518.3945,204968.5495,78241.02818,16072.65347,3346.969934
2043,772622.7996,921856.1544,1147377.965,1215786.486,1039943.367,742579.1705,434483.8781,198998.5917,75962.16328,15604.51793,3249.485373
2044,750119.2229,895005.9752,1113959.189,1180375.229,1009653.754,720950.651,421829.0079,193202.5163,73749.67308,15150.01741,3154.840168
2045,728271.0902,868937.84,1081513.776,1145995.368,980246.3632,699952.0883,409542.7261,187575.2585,71601.62435,14708.75477,3062.951619
2046,707059.3108,843628.9709,1050013.375,1112616.862,951695.4983,679565.1343,397614.2972,182111.9015,69516.14015,14280.34443,2973.739436
2047,686465.3503,819057.2533,1019430.461,1080210.546,923976.2119,659771.9751,386033.2983,176807.6713,67491.3982,13864.41207,2887.125666
2048,666471.2139,795201.2168,989738.3116,1048748.103,897064.2834,640555.3156,374789.61,171657.9333,65525.62932,13460.59424,2803.034627
2049,647059.431,772040.0163,960910.9822,1018202.041,870936.1975,621898.3647,363873.4077,166658.1877,63617.11585,13068.5381,2721.392842
2050,628213.0398,749553.4139,932923.2836,988545.6713,845569.1238,603784.8201,353275.1531,161804.0657,61764.19014,12687.90107,2642.128973
2051,609915.5726,727721.761,905750.7608,959753.0789,820940.8969,586198.8544,342985.5856,157091.3259,59965.23315,12318.35055,2565.17376
2052,592151.0414,706525.9816,879369.6707,931799.1057,797029.9969,569125.1014,332995.7141,152515.8504,58218.67296,11959.56364,2490.459961
2053,574903.9237,685947.5549,853756.9618,904659.3259,773815.531,552548.6421,323296.8098,148073.6412,56522.98346,11611.22684,2417.922292
