Age,LifeExp
0,77.07
1,76.47
2,75.5
3,74.52
4,73.53
5,72.54
6,71.55
7,70.56
8,69.57
9,68.57
10,67.58
11,66.59
12,65.6
13,64.6
14,63.62
15,62.63
16,61.65
17,60.68
18,59.71
19,58.75
20,57.8
21,56.85
22,55.91
23,54.98
24,54.04
25,53.1
26,52.17
27,51.24
28,50.31
29,49.39
30,48.47
31,47.55
32,46.63
33,45.71
34,44.79
35,43.88
36,42.96
37,42.05
38,41.14
39,40.23
40,39.33
41,38.43
42,37.53
43,36.63
44,35.73
45,34.84
46,33.95
47,33.06
48,32.19
49,31.32
50,30.45
51,29.59
52,28.74
53,27.89
54,27.06
55,26.23
56,25.41
57,24.61
58,23.81
59,23.02
60,22.24
61,21.47
62,20.71
63,19.96
64,19.22
65,18.48
66,17.75
67,17.03
68,16.32
69,15.61
70,14.91
71,14.22
72,13.54
73,12.87
74,12.21
75,11.58
76,10.95
77,10.35
78,9.77
79,9.2
80,8.64
81,8.11
82,7.59
83,7.09
84,6.62
85,6.16
86,5.74
87,5.34
88,4.96
89,4.62
90,4.31
91,3.99
92,3.7
93,3.43
94,3.2
95,2.98
96,2.77
97,2.59
98,2.42
99,2.27
100,2.13
101,2.01
102,1.9
103,1.79
104,1.7
105,1.62
106,1.55
107,1.49
108,1.44
109,1.39
110+,1.37
