Age,"Total
productivity"
0,1193498
1,1230361
2,1261434
3,1293134
4,1325545
5,1358734
6,1392731
7,1427555
8,1463232
9,1499783
10,1537233
11,1575612
12,1614961
13,1655334
14,1696793
15,1739399
16,1776852
17,1813688
18,1849590
19,1884928
20,1917694
21,1946356
22,1971226
23,1991821
24,2007325
25,2016722
26,2020405
27,2018932
28,2013499
29,2004288
30,1991308
31,1974184
32,1952641
33,1926874
34,1897443
35,1864547
36,1828699
37,1790038
38,1749403
39,1706267
40,1661543
41,1614870
42,1567278
43,1518480
44,1468630
45,1417845
46,1366322
47,1314776
48,1263012
49,1211088
50,1159717
51,1108728
52,1058049
53,1006496
54,954789
55,903816
56,853675
57,804197
58,754595
59,705249
60,656464
61,608736
62,562552
63,518361
64,476648
65,438184
66,402679
67,370544
68,341291
69,314345
70,289564
71,266369
72,244548
73,223835
74,204060
75,185305
76,167468
77,150568
78,134621
79,119162
80,104860
81,91586
82,79486
83,68312
84,58110
85,48908
86,40776
87,33403
88,26947
89,21225
90,16437
91,12702
92,9610
93,7089
94,4902
95,3373
96,2119
97,1216
98,615
99,269
100,0
